name,context
The Anthem,Washington DC
Madison Square Garden,New York City
Red Rocks Amphitheatre,Morrison Colorado
The Fillmore,San Francisco
Troubadour,West Hollywood California
The Blue Note,New York City
The Ryman Auditorium,Nashville Tennessee
The Greek Theatre,Berkeley California
Terminal 5,New York City
The Observatory,Santa Ana California
